,"Year Ended December 31, 2006"
,Financial Services Businesses,Closed Block Business,Combined
,Yield-1,Amount,Yield-1,Amount,Yield-1,Amount
,($ in millions)
Fixed maturities,4.95%,"$5,315",6.59%,"$3,001",5.42%,"$8,316"
Trading account assets supporting insurance liabilities,4.73,652,—,—,4.73,652
Equity securities,5.15,182,2.81,81,4.10,263
Commercial loans,6.15,982,7.58,529,6.58,"1,511"
Policy loans,5.04,158,6.35,333,5.86,491
Short-term investments and cash equivalents,5.38,342,10.91,191,6.06,533
Other investments,8.03,217,10.76,94,8.72,311
Gross investment income before investment expenses,5.14,"7,848",6.61,"4,229",5.56,"12,077"
Investment expenses,-0.15,-515,-0.24,-549,-0.18,"-1,064"
Investment income after investment expenses,4.99%,"7,333",6.37%,"3,680",5.38%,"11,013"
Investment results of other entities and operations-2,,307,,—,,307
Total investment income,,"$7,640",,"$3,680",,"$11,320"
