2011,Entergy Arkansas,Entergy Gulf States Louisiana,Entergy Louisiana,Entergy Mississippi,Entergy New Orleans,Entergy Texas,System Energy
,(In Thousands)
Deferred tax liabilities:,,,,,,,
Plant basis differences - net,"-$1,375,502","-$1,224,422","-$1,085,047","-$608,596","-$169,538","-$892,707","-$505,369"
Regulatory asset for income taxes - net,"-64,204","-140,644","-121,388","-28,183","70,973","-59,812","-87,550"
Power purchase agreements,94,"3,938",-1,"2,383",22,"2,547",-
Nuclear decommissioning trusts,"-53,789","-21,096","-22,441",-,-,-,"-19,138"
Deferred fuel,"-82,452","-1,225","-4,285",718,-331,"3,932",-8
Other,"-107,558","-1,532","-26,373","-10,193","-18,319","-14,097","-9,333"
Total,"-$1,683,411","-$1,384,981","-$1,259,535","-$643,871","-$117,193","-$960,137","-$621,398"
Deferred tax assets:,,,,,,,
Accumulated deferred investment,,,,,,,
tax credits,"16,843","31,367","28,197","2,437",592,"6,769","22,133"
Pension and OPEB,"-75,399","92,602","19,866","-30,390","-11,713","-41,964","-19,593"
Nuclear decommissioning liabilities,"-104,862","-38,683","56,399",-,-,-,"-47,360"
Sale and leaseback,-,-,"66,801",-,-,-,"150,629"
Provision for regulatory adjustments,-,"97,608",-,-,-,-,-
Provision for contingencies,"4,167",90,"3,940","2,465","10,121","2,299",-
Unbilled/deferred revenues,"15,222","-21,918","-7,108","8,990","2,707","14,324",-
Customer deposits,"7,019",618,"5,699","1,379",109,-,-
Rate refund,"11,627",-,134,-,2,"-3,924",-
Net operating loss carryforwards,-,-,"39,153",-,-,"58,546",-
Other,"3,485","27,392","18,824","4,826","5,248","37,734","25,724"
Total,"-121,898","189,076","231,905","-10,293","7,066","73,784","131,533"
Noncurrent accrued taxes (including,,,,,,,
unrecognized tax benefits),"-27,718","-206,752","-75,750","-6,271","-27,859","39,799","-165,981"
Accumulated deferred income,,,,,,,
taxes and taxes accrued,"-$1,833,027","-$1,402,657","-$1,103,380","-$660,435","-$137,986","-$846,554","-$655,846"
