(Dollars in millions),Securities -1,Derivatives -2,Employee Benefit Plans -3,Foreign Currency -4,Total
"Balance, December 31, 2007","$6,536","$-4,402","$-1,301",$296,"$1,129"
Net change in fair value recorded in accumulated OCI-5,"-10,354",104,"-3,387","-1,000","-14,637"
Net realized losses reclassified into earnings-6,"1,797",840,46,–,"2,683"
"Balance, December 31, 2008","$-2,021","$-3,458","$-4,642",$-704,"$-10,825"
"Balance, December 31, 2006","$-2,733","$-3,697","$-1,428",$147,"$-7,711"
Net change in fair value recorded in accumulated OCI-5,"9,416","-1,252",4,142,"8,310"
Net realized (gains) losses reclassified into earnings(6),-147,547,123,7,530
"Balance, December 31, 2007","$6,536","$-4,402","$-1,301",$296,"$1,129"
"Balance, December 31, 2005","$-2,978","$-4,338",$-118,$-122,"$-7,556"
Net change in fair value recorded in accumulated OCI,465,534,"-1,310",219,-92
Net realized (gains) losses reclassified into earnings(6),-220,107,–,50,-63
"Balance, December 31, 2006","$-2,733","$-3,697","$-1,428",$147,"$-7,711"
