,"December 31, 2007"
,Aaa,Aa,A,Baa,Below Investment Grade,Total
,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,
,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair
,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value
,(In millions)
2003 & Prior,$217,$206,$130,$123,$15,$14,$13,$12,$4,$2,$379,$357
2004,186,169,412,383,11,9,—,—,1,—,610,561
2005,509,462,218,197,—,—,—,—,—,—,727,659
2006,244,223,64,43,—,—,—,—,—,—,308,266
2007,132,123,17,9,—,—,—,—,—,—,149,132
Total,"$1,288","$1,183",$841,$755,$26,$23,$13,$12,$5,$2,"$2,173","$1,975"
