"As of or for the Years Ended December 31,",,,,Change 2017 vs. 2016,Change 2016 vs. 2015
"(Millions, except percentages and where indicated)",2017,2016,2015
Card billed business(billions),$337.0,$345.3,$370.1,-2%,-7%
Charge card billed business as a % of total,36.4%,34.7%,32.4%,,
Total cards-in-force,34.9,32.7,40.7,7,-20
Basic cards-in-force,25.0,23.3,28.6,7,-19
Average basic Card Member spending(dollars),"$13,950","$13,447","$13,441",4,―
Total segment assets(billions),$94.2,$87.4,$92.7,8,-6
Card Member loans:(a),,,,,
Total loans(billions),$53.7,$48.8,$43.5,10,12
Average loans(billions),$48.9,$44.4,$51.1,10%,-13%
Net write-off rate — principal only(b),1.8%,1.5%,1.4%,,
"Net write-off rate — principal, interest and fees(b)",2.1%,1.8%,1.6%,,
30+ days past due loans as a % of total,1.3%,1.1%,1.0%,,
Calculation of Net Interest Yield on Average Card Member loans:,,,,,
Net interest income,"$5,013","$4,546","$4,710",,
Exclude:,,,,,
Interest expense not attributable to our Card Member loan portfolio(c),120,80,72,,
Interest income not attributable to our Card Member loan portfolio(d),-101,-24,-15,,
Adjusted net interest income(e),"$5,032","$4,602","$4,767",,
Average Card Member loans including HFS loan portfolios(billions)(f),$48.9,$49.4,$52.1,,
Net interest income divided by average Card Member loans,10.3%,9.2%,9.0%,,
Net interest yield on average Card Member loans(e),10.3%,9.3%,9.2%,,
Card Member receivables:(a),,,,,
Total receivables(billions),$13.1,$12.3,$11.8,7%,4%
Net write-off rate — principal only(b),1.3%,1.4%,1.6%,,
Net write-off rate — principal and fees(b),1.4%,1.6%,1.8%,,
30+ days past due as a % of total,1.1%,1.2%,1.4%,,
