,2005,2006,2007,2008,2009
Non-Utility Nuclear:,,,,,
Percent of capacity sold forward:,,,,,
Bundled capacity and energy contracts,13%,13%,13%,13%,13%
Capacity contracts,58%,67%,36%,22%,10%
Total,71%,80%,49%,35%,23%
Planned net MW in operation,"4,155","4,200","4,200","4,200","4,200"
Average capacity contract price per kW per month,$1.2,$1.1,$1.1,$1.0,$0.9
Blended Capacity and Energy (based on revenues),,,,,
% of planned generation and capacity sold forward,93%,87%,65%,36%,12%
Average contract revenue per MWh,$40,$42,$43,$44,$43
