Year ended December 31 – dollars in millions,2018,2017,2016,2015,2014
Allowance for loan and lease losses – January 1,"$2,611","$2,589","$2,727","$3,331","$3,609"
Gross charge-offs,,,,,
Commercial,-108,-186,-332,-206,-276
Commercial real estate,-8,-24,-26,-44,-70
Equipment lease financing,-8,-11,-5,-5,-14
Home equity,-110,-123,-143,-181,-275
Residential real estate,-6,-9,-14,-24,-40
Credit card,-217,-182,-161,-160,-163
Other consumer (a),-307,-251,-205,-185,-183
Total gross charge-offs,-764,-786,-886,-805,"-1,021"
Recoveries,,,,,
Commercial,67,81,117,170,207
Commercial real estate,24,28,51,66,84
Equipment lease financing,8,7,10,4,14
Home equity,98,91,84,93,78
Residential real estate,21,18,9,13,26
Credit card,24,21,19,21,21
Other consumer (a),102,83,53,52,60
Total recoveries,344,329,343,419,490
Net (charge-offs),-420,-457,-543,-386,-531
Provision for credit losses,408,441,433,255,273
Net decrease / (increase) in allowance for unfunded loan commitments andletters of credit,12,4,-40,-2,-17
Other (b),18,34,12,-471,-3
Allowance for loan and lease losses – December 31,"$2,629","$2,611","$2,589","$2,727","$3,331"
Allowance as a percentage of December 31:,,,,,
Loans (b),1.16%,1.18%,1.23%,1.32%,1.63%
Nonperforming loans,155%,140%,121%,128%,133%
As a percentage of average loans:,,,,,
Net charge-offs,.19%,.21%,.26%,.19%,.27%
Provision for credit losses,.18%,.20%,.21%,.12%,.14%
Allowance for loan and lease losses (b),1.18%,1.20%,1.24%,1.33%,1.67%
Allowance as a multiple of net charge-offs,6.26x,5.71x,4.77x,7.06x,6.27x
