,Incremental,
In billions of dollars,GAAP assets,Risk- weighted assets,-1
Impact of consolidation,,,
Credit cards,$86.3,$0.8,
Commercial paper conduits,28.3,13.0,
Student loans,13.6,3.7,
Private label consumer mortgages,4.4,1.3,
Municipal tender option bonds,0.6,0.1,
Collateralized loan obligations,0.5,0.5,
Mutual fund deferred sales commissions,0.5,0.5,
Subtotal,$134.2,$19.9,
Impact of deconsolidation,,,
Collateralized debt obligations-2,$1.9,$3.6,
Equity-linked notes-3,1.2,0.5,
Total,$137.3,$24.0,
