"Balance at December 31, 2007","$41,053"
Sale of German retail bank,"$-1,047"
Sale of CitiCapital,-221
Sale of Citigroup Global Services Limited,-85
Purchase accounting adjustments—BISYS,-184
Purchase of the remaining shares of Nikko Cordial—net of purchase accounting adjustments,287
Acquisition of Legg Mason Private Portfolio Group,98
Foreign exchange translation,"-3,116"
Impairment of goodwill,"-9,568"
"Smaller acquisitions, purchase accounting adjustments and other",-85
"Balance at December 31, 2008","$27,132"
Sale of Smith Barney,"$-1,146"
Sale of Nikko Cordial Securities,-558
Sale of Nikko Asset Management,-433
Foreign exchange translation,547
"Smaller acquisitions/divestitures, purchase accounting adjustments and other",-150
"Balance at December 31, 2009","$25,392"
