In millions of dollars,Regional Consumer Banking,Institutional Clients Group,Citi Holdings,Corporate/ Other,Total
"Balance at December 31, 2007-1","$19,751","$9,288","$12,014",$—,"$41,053"
Goodwill acquired during 2008,$88,$108,"$1,492",$—,"$1,688"
Goodwill disposed of during 2008,—,—,"-1,378",—,"-1,378"
Goodwill impaired during 2008,"-6,547",—,"-3,021",—,"-9,568"
Other-1,"-4,006",775,"-1,432",—,"-4,663"
"Balance at December 31, 2008-1","$9,286","$10,171","$7,675",$—,"$27,132"
Goodwill acquired during 2009,$—,$—,$—,$—,$—
Goodwill disposed of during 2009,—,-39,"-2,248",—,"-2,287"
Other-1,307,225,15,—,547
"Balance at December 31, 2009","$9,593","$10,357","$5,442",$—,"$25,392"
