,"Years Ended December 31,",,
,2015,2014,,
(dollars in millions),Net Sales,Percentageof Total Net Sales,Net Sales,Percentageof Total Net Sales,DollarChange,PercentChange-1
Corporate:,,,,,,
Medium/Large,"$5,758.2",44.3%,"$5,485.4",45.4%,$272.8,5.0%
Small Business,"1,058.2",8.2,990.1,8.2,68.1,6.9
Total Corporate,"6,816.4",52.5,"6,475.5",53.6,340.9,5.3
Public:,,,,,,
Government,"1,675.9",12.9,"1,449.4",12.0,226.5,15.6
Education,"1,807.0",13.9,"1,824.0",15.1,-17.0,-0.9
Healthcare,"1,642.6",12.6,"1,606.0",13.3,36.6,2.3
Total Public,"5,125.5",39.4,"4,879.4",40.4,246.1,5.0
Other,"1,046.8",8.1,719.6,6.0,327.2,45.5
Total Net sales,"$12,988.7",100.0%,"$12,074.5",100.0%,$914.2,7.6%
