In millions of dollars,2009,2008,2007,% Change 2009 vs. 2008,% Change 2008 vs. 2007
Commissions and fees,"$2,075","$2,876","$3,156",-28%,-9%
Administration and other fiduciary fees,"4,964","5,413","5,014",-8,8
Investment banking,"4,685","3,329","5,399",41,-38
Principal transactions,"6,001","6,544","7,012",-8,-7
Other,"1,971","-1,021","1,169",NM,NM
Total non-interest revenue,"$19,696","$17,141","$21,750",15%,-21%
Net interest revenue (including dividends),"17,739","17,740","11,704",—,52
"Total revenues, net of interest expense","$37,435","$34,881","$33,454",7%,4%
Total operating expenses,"17,568","20,955","20,812",-16,1
Net credit losses,723,917,310,-21,NM
Provision for unfunded lending commitments,138,-191,79,NM,NM
Credit reservebuild,857,"1,149",167,-25,NM
Provision for benefits and claims,—,—,1,—,-100
Provisions for loan losses and benefits and claims,"$1,718","$1,875",$557,-8%,NM
Income from continuing operations before taxes,"$18,149","$12,051","$12,085",51%,—
Income taxes,"5,261","2,746","3,116",92,-12%
Income from continuing operations,"$12,888","$9,305","$8,969",39%,4%
Net income attributable to noncontrolling interests,68,18,45,NM,-60
Net income,"$12,820","$9,287","$8,924",38%,4%
Average assets(in billions of dollars),$839,"$1,037","$1,154",-19%,-10%
Return on assets,1.53%,0.90%,0.77%,,
Revenues by region,,,,,
North America,"$11,926","$13,148","$10,644",-9%,24%
EMEA,"13,424","9,683","10,755",39,-10
Latin America,"4,784","3,808","4,360",26,-13
Asia,"7,301","8,242","7,695",-11,7
Total,"$37,435","$34,881","$33,454",7%,4%
Income from continuing operations by region,,,,,
North America,"$3,032","$2,598","$1,896",17%,37%
EMEA,"4,680","1,902","2,411",NM,-21
Latin America,"2,116","1,636","1,899",29,-14
Asia,"3,060","3,169","2,763",-3,15
Total,"$12,888","$9,305","$8,969",39%,4%
Average loans by region(in billions of dollars),,,,,
North America,$45,$50,$51,-10%,-2%
EMEA,44,54,56,-19,-4
Latin America,21,24,26,-13,-8
Asia,28,37,38,-24,-3
Total,$138,$165,$171,-16%,-4%
