In millions of dollars,Liquidity Facilities,LoanCommitments
Citicorp,,
Citi-administered asset-backed commercial paper conduits (ABCP),"$20,486","$1,718"
Third-party commercial paper conduits,353,—
Asset-based financing,—,549
Municipal securities tender option bond trusts (TOBs),"6,304",—
Municipal investments,—,18
Other,10,23
Total Citicorp,"$27,153","$2,308"
Citi Holdings,,
Citi-administered asset-backed commercial paper conduits (ABCP),"$11,978","$1,682"
Third-party commercial paper conduits,252,—
Collateralized loan obligations (CLOs),—,19
Asset-based financing,—,"1,311"
Municipal investments,—,386
Investment Funds,—,93
Other,—,257
Total CitiHoldings,"$12,230","$3,748"
Total Citigroup funding commitments,"$39,383","$6,056"
