$ in millions,2011,2010,$ Change,% Change
Investment management fees,"3,138.5","2,720.9",417.6,15.3%
Service and distribution fees,780.3,645.5,134.8,20.9%
Performance fees,37.9,26.1,11.8,45.2%
Other,135.5,95.2,40.3,42.3%
Total operating revenues,"4,092.2","3,487.7",604.5,17.3%
"Third-party distribution, service and advisory expenses","-1,282.5","-1,053.8",-228.7,21.7%
"Proportional share of revenues, net of third-party distribution expenses, from joint venture investments",41.4,42.2,-0.8,-1.9%
Management fees earned from consolidated investment products,46.8,45.3,1.5,3.3%
Performance fees earned from consolidated investment products,0.5,—,0.5,N/A
Other revenues recorded by consolidated investment products,—,-0.3,0.3,-100.0%
Net revenues,"2,898.4","2,521.1",377.3,15.0%
