,"December 31, 2017"
($ in millions),Total,Level 1,Level 2,Level 3
Plan assets subject to leveling,,,,
U.S. and international equities,"$1,270","$1,270",$—,$—
Government and agency debt securities,409,—,409,—
Corporate and other debt securities,"1,287",—,"1,287",—
Group annuity contract,3,—,3,—
"Cash and cash equivalents, net",—,—,—,—
Net plan assets subject to leveling,"$2,969","$1,270","$1,699",$—
Plan assets not subject to leveling,,,,
U.S. and international equities (a),"2,012",,,
Corporate and other debt securities,165,,,
Real estate investments,279,,,
Private partnerships,16,,,
Hedge funds,281,,,
"Cash and cash equivalents, net (b)",115,,,
Total plan assets not subject to leveling,"2,868",,,
Net plan assets,"$5,837",,,
