,Developed Acreage,Undeveloped Acreage
,Gross,Net,Gross,Net
(thousands),,,,
United States,,,,
Onshore,"1,535","1,012","1,815","1,318"
Offshore,65,35,562,397
Total United States,"1,600","1,047","2,377","1,715"
International,,,,
Equatorial Guinea,56,19,573,233
Cameroon,-,-,"1,125",563
Israel,62,29,"1,592",660
North Sea-1,52,7,213,41
China,7,4,-,-
Suriname,-,-,"3,087","1,389"
France-2,-,-,"2,808","2,036"
Nicaragua,-,-,"1,977","1,977"
Cyprus-3,-,-,"1,136",795
India,-,-,694,347
Total International,177,59,"13,205","8,041"
Total,"1,777","1,106","15,582","9,756"
