,December 31
(Dollars in millions),2010,2009
Trading account assets,,
U.S. government and agency securities-1,"$60,811","$44,585"
"Corporate securities, trading loans and other","49,352","57,009"
Equity securities,"32,129","33,562"
Non-U.S.sovereign debt,"33,523","28,143"
Mortgage trading loans and asset-backed securities,"18,856","18,907"
Total trading account assets,"$194,671","$182,206"
Trading account liabilities,,
U.S. government and agency securities,"$29,340","$26,519"
Equity securities,"15,482","18,407"
Non-U.S.sovereign debt,"15,813","12,897"
Corporate securities and other,"11,350","7,609"
Total trading account liabilities,"$71,985","$65,432"
