(Dollars in millions),2010,2009
Net interest income-1,,
As reported-2,"$52,693","$48,410"
Impact of market-based net interest income-3,"-4,430","-6,117"
Core net interest income,"48,263","42,293"
Impact of securitizations-4,n/a,"10,524"
Core net interest income,"48,263","52,817"
Average earning assets,,
As reported,"1,897,573","1,830,193"
Impact of market-based earning assets-3,"-504,360","-481,376"
Core average earning assets,"1,393,213","1,348,817"
Impact of securitizations-5,n/a,"83,640"
Core average earning assets,"1,393,213","1,432,457"
Net interest yield contribution-1,,
As reported-2,2.78%,2.65%
Impact of market-based activities-3,0.68,0.49
Core net interest yield on earning assets,3.46,3.14
Impact of securitizations,n/a,0.55
Core net interest yield on earning assets,3.46%,3.69%
