,2009,2008
(in millions of U.S. dollars),Gross,Ceded,Net,Gross,Ceded,Net
Property and all other,,,,,,
Case reserves,"$3,149","$1,600","$1,549","$3,180","$1,367","$1,813"
Loss expenses,260,81,179,264,92,172
IBNR reserves,"2,028",815,"1,213","2,456","1,084","1,372"
Subtotal,"5,437","2,496","2,941","5,900","2,543","3,357"
Casualty,,,,,,
Case reserves,"9,506","3,177","6,329","8,700","3,178","5,522"
Loss expenses,"3,773","1,661","2,112","3,871","1,779","2,092"
IBNR reserves,"17,777","5,110","12,667","17,455","5,144","12,311"
Subtotal,"31,056","9,948","21,108","30,026","10,101","19,925"
A&H,,,,,,
Case reserves,588,144,444,536,121,415
Loss expenses,31,1,30,32,2,30
IBNR reserves,671,156,515,682,168,514
Subtotal,"1,290",301,989,"1,250",291,959
Total,,,,,,
Case reserves,"13,243","4,921","8,322","12,416","4,666","7,750"
Loss expenses,"4,064","1,743","2,321","4,167","1,873","2,294"
IBNR reserves,"20,476","6,081","14,395","20,593","6,396","14,197"
Total,"$37,783","$12,745","$25,038","$37,176","$12,935","$24,241"
