,Pensions,Postretirement
(in millions),Non-U.S. Plans,U.S. Plans,Total,Non-U.S. Plans,U.S. Plans,Total
2006,,,,,,
Components of net periodic benefit cost:,,,,,,
Service cost,$78,$130,$208,$4,$6,$10
Interest cost,36,169,205,2,11,13
Expected return on assets,-28,-201,-229,—,—,—
Amortization of prior service cost,-9,-3,-12,—,-6,-6
Amortization of transitional obligation,1,—,1,—,—,—
Recognition of net actuarial (gains)/losses,16,75,91,—,—,—
Other,1,6,7,—,—,—
Net periodic benefit cost,$95,$176,$271,$6,$11,$17
Total recognized in other comprehensive income,$38,$24,$62,$—,$—,$—
Total recognized in net periodic benefit cost and other comprehensive income,$133,$200,$333,$6,$11,$17
2005,,,,,,
Components of net periodic benefit cost:,,,,,,
Service cost,$71,$111,$182,$4,$5,$9
Interest cost,32,153,185,2,11,13
Expected return on assets,-21,-180,-201,—,—,—
Amortization of prior service cost,-10,-3,-13,—,-6,-6
Amortization of transitional obligation,1,—,1,—,—,—
Recognition of net actuarial (gains)/losses,21,55,76,—,—,—
Other,7,1,8,—,—,—
Net periodic benefit cost,$101,$137,$238,$6,$10,$16
2004,,,,,,
Components of net periodic benefit cost:,,,,,,
Service cost,$59,$101,$160,$3,$6,$9
Interest cost,33,147,180,2,14,16
Expected return on assets,-22,-170,-192,—,—,—
Amortization of prior service cost,-8,—,-8,—,-7,-7
Amortization of transitional obligation,2,—,2,—,—,—
Recognition of net actuarial (gains)/losses,15,53,68,11,2,13
Other*,-24,—,-24,3,—,3
Net periodic benefit cost,$55,$131,$186,$19,$15,$34
