"Years Ended December 31,",,,,Percentage Change
(in millions),2015,2014,2013,2015 vs. 2014,2014 vs. 2013
Revenues:,,,,,
Premiums,"$14,085","$14,936","$15,302",-6%,-2%
Policy fees,"2,557","2,453","2,252",4,9
Net investment income,"8,322","9,082","9,352",-8,-3
Other income,"2,105","1,998","1,754",5,14
Benefits and expenses:,,,,,
Policyholder benefits and losses incurred,"10,475","10,796","10,957",-3,-1
Interest credited to policyholder account balances,"3,316","3,353","3,477",-1,-4
Amortization of deferred policy acquisition costs,"2,887","2,759","2,836",5,-3
General operating and other expenses*,"7,013","7,087","6,826",-1,4
Pre-tax operating income,"$3,378","$4,474","$4,564",-24%,-2%
