,"JPMorgan Chase Bank, N.A."
,Basel III Standardized Transitional,,Basel III Advanced Transitional
"(in millions,except ratios)","Dec 31, 2017","Dec 31, 2016",,"Dec 31, 2017","Dec 31,2016"
Regulatory capital,,,,,
CET1 capital,"$184,375","$179,319",,"$184,375","$179,319"
Tier 1 capital(a),"184,375","179,341",,"184,375","179,341"
Total capital,"195,839","191,662",,"189,419","184,637"
Assets,,,,,
Risk-weighted,"1,335,809","1,311,240",(e),"1,226,534","1,262,613"
Adjusted average(b),"2,116,031","2,088,851",,"2,116,031","2,088,851"
Capital ratios(c),,,,,
CET1,13.8%,13.7%,(e),15.0%,14.2%
Tier 1(a),13.8,13.7,(e),15.0,14.2
Total,14.7,14.6,(e),15.4,14.6
Tier 1 leverage(d),8.7,8.6,,8.7,8.6
