source_table_id,example_id,source_uid,table_index,row_count,max_column_count
mhdev_0001_table_0,MHDEV-0001,7d840731012a4a09a735eeee286c364b,0,31,6
mhdev_0001_table_1,MHDEV-0001,7d840731012a4a09a735eeee286c364b,1,5,4
mhdev_0001_table_2,MHDEV-0001,7d840731012a4a09a735eeee286c364b,2,10,4
mhdev_0001_table_3,MHDEV-0001,7d840731012a4a09a735eeee286c364b,3,5,4
mhdev_0002_table_0,MHDEV-0002,63260a43bc4e4632a0317eb820caf964,0,8,4
mhdev_0002_table_1,MHDEV-0002,63260a43bc4e4632a0317eb820caf964,1,7,3
mhdev_0002_table_2,MHDEV-0002,63260a43bc4e4632a0317eb820caf964,2,16,5
mhdev_0002_table_3,MHDEV-0002,63260a43bc4e4632a0317eb820caf964,3,6,5
mhdev_0003_table_0,MHDEV-0003,7f9cd61fc4264c9bb81cdcfd2c5c4c38,0,12,2
mhdev_0003_table_1,MHDEV-0003,7f9cd61fc4264c9bb81cdcfd2c5c4c38,1,9,4
mhdev_0003_table_2,MHDEV-0003,7f9cd61fc4264c9bb81cdcfd2c5c4c38,2,16,7
mhdev_0003_table_3,MHDEV-0003,7f9cd61fc4264c9bb81cdcfd2c5c4c38,3,16,7
mhdev_0004_table_0,MHDEV-0004,b7642f569ac54d28af0a4a16683d3f35,0,9,3
mhdev_0004_table_1,MHDEV-0004,b7642f569ac54d28af0a4a16683d3f35,1,28,8
mhdev_0004_table_2,MHDEV-0004,b7642f569ac54d28af0a4a16683d3f35,2,5,2
mhdev_0004_table_3,MHDEV-0004,b7642f569ac54d28af0a4a16683d3f35,3,3,4
mhdev_0005_table_0,MHDEV-0005,5cc19228085048228131f5d77196655d,0,15,4
mhdev_0005_table_1,MHDEV-0005,5cc19228085048228131f5d77196655d,1,6,5
mhdev_0005_table_2,MHDEV-0005,5cc19228085048228131f5d77196655d,2,13,6
mhdev_0005_table_3,MHDEV-0005,5cc19228085048228131f5d77196655d,3,3,4
mhdev_0006_table_0,MHDEV-0006,1ca146715d8b4ed9a102b68af5bdd385,0,14,4
mhdev_0006_table_1,MHDEV-0006,1ca146715d8b4ed9a102b68af5bdd385,1,13,13
mhdev_0006_table_2,MHDEV-0006,1ca146715d8b4ed9a102b68af5bdd385,2,12,13
mhdev_0006_table_3,MHDEV-0006,1ca146715d8b4ed9a102b68af5bdd385,3,5,4
mhdev_0007_table_0,MHDEV-0007,a60e6202dde64cbb9c7eb29ed5fd3fe2,0,15,4
mhdev_0007_table_1,MHDEV-0007,a60e6202dde64cbb9c7eb29ed5fd3fe2,1,6,5
mhdev_0007_table_2,MHDEV-0007,a60e6202dde64cbb9c7eb29ed5fd3fe2,2,13,6
mhdev_0007_table_3,MHDEV-0007,a60e6202dde64cbb9c7eb29ed5fd3fe2,3,3,4
mhdev_0008_table_0,MHDEV-0008,b6e47615b28841deaacce680de41c65c,0,17,5
mhdev_0008_table_1,MHDEV-0008,b6e47615b28841deaacce680de41c65c,1,10,4
mhdev_0008_table_2,MHDEV-0008,b6e47615b28841deaacce680de41c65c,2,10,5
mhdev_0009_table_0,MHDEV-0009,9b1a8a210c654f1aada293d3ea35429e,0,6,8
mhdev_0009_table_1,MHDEV-0009,9b1a8a210c654f1aada293d3ea35429e,1,28,6
