row_index,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
1,,Aaa,Aa,A,Baa,Below Investment Grade,Total,,,,,,
2,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,,Cost or,
3,,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair,Amortized,Fair
4,,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value,Cost,Value
5,,(In millions),,,,,,,,,,,
6,2003 & Prior,$96,$77,$92,$72,$26,$16,$83,$53,$8,$4,$305,$222
7,2004,129,70,372,204,5,3,37,28,2,1,545,306
8,2005,357,227,186,114,20,11,79,46,4,4,646,402
9,2006,146,106,69,30,15,10,26,7,2,2,258,155
10,2007,—,—,78,33,35,21,2,2,3,1,118,57
11,2008,—,—,—,—,—,—,—,—,—,—,—,—
12,Total,$728,$480,$797,$453,$101,$61,$227,$136,$19,$12,"$1,872","$1,142"
