row_index,c0,c1,c2,c3,c4,c5,c6,c7
1,(Dollars in millions),2012,2011,2010,Variance,% Change,Variance,% Change
2,Gross written premiums,"$1,073.1",$975.6,$865.4,$97.5,10.0%,$110.3,12.7%
3,Net written premiums,852.1,820.5,620.3,31.6,3.9%,200.2,32.3%
4,Premiums earned,$852.4,$821.2,$641.1,$31.3,3.8%,$180.1,28.1%
5,Incurred losses and LAE,700.3,705.9,536.8,-5.6,-0.8%,169.2,31.5%
6,Commission and brokerage,117.6,137.7,120.8,-20.1,-14.6%,16.9,14.0%
7,Other underwriting expenses,103.0,89.5,69.7,13.5,15.1%,19.8,28.5%
8,Underwriting gain (loss),$-68.5,$-111.9,$-86.1,$43.5,-38.8%,$-25.8,30.0%
9,,,,,,Point Chg,,Point Chg
10,Loss ratio,82.2%,86.0%,83.7%,,-3.8,,2.3
11,Commission and brokerage ratio,13.8%,16.8%,18.8%,,-3.0,,-2.0
12,Other underwriting expense ratio,12.0%,10.8%,10.9%,,1.2,,-0.1
13,Combined ratio,108.0%,113.6%,113.4%,,-5.6,,0.2
14,(Some amounts may not reconcile due to rounding.),,,,,,,
