row_index,c0,c1
1,Sale of German retail bank,"$-1,047"
2,Sale of CitiCapital,-221
3,Sale of Citigroup Global Services Limited,-85
4,Purchase accounting adjustments—BISYS,-184
5,Purchase of the remaining shares of Nikko Cordial—net of purchase accounting adjustments,287
6,Acquisition of Legg Mason Private Portfolio Group,98
7,Foreign exchange translation,"-3,116"
8,Impairment of goodwill,"-9,568"
9,"Smaller acquisitions, purchase accounting adjustments and other",-85
10,"Balance at December 31, 2008","$27,132"
11,Sale of Smith Barney,"$-1,146"
12,Sale of Nikko Cordial Securities,-558
13,Sale of Nikko Asset Management,-433
14,Foreign exchange translation,547
15,"Smaller acquisitions/divestitures, purchase accounting adjustments and other",-150
16,"Balance at December 31, 2009","$25,392"
