row_index,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
1,"In millions of dollars, except rates",2015,2014,2013,2015,2014,2013,2015,2014,2013
2,Liabilities,,,,,,,,,
3,Deposits,,,,,,,,,
4,In U.S. offices-5,"$273,122","$289,669","$262,544","$1,291","$1,432","$1,754",0.47%,0.49%,0.67%
5,In offices outside the U.S.-6,"425,053","465,144","481,134","3,761","4,260","4,482",0.88,0.92,0.93
6,Total,"$698,175","$754,813","$743,678","$5,052","$5,692","$6,236",0.72%,0.75%,0.84%
7,Federal funds purchased and securities loaned or sold under agreements to repurchase-7,,,,,,,,,
8,In U.S. offices,"$108,286","$102,246","$126,742",$721,$656,$677,0.67%,0.64%,0.53%
9,In offices outside the U.S.-6,"66,200","87,777","102,623",893,"1,239","1,662",1.35,1.41,1.62
10,Total,"$174,486","$190,023","$229,365","$1,614","$1,895","$2,339",0.93%,1.00%,1.02%
11,Trading account liabilities-8(9),,,,,,,,,
12,In U.S. offices,"$25,837","$30,451","$24,834",$111,$75,$93,0.43%,0.25%,0.37%
13,In offices outside the U.S.-6,"44,126","45,205","47,908",105,93,76,0.24,0.21,0.16
14,Total,"$69,963","$75,656","$72,742",$216,$168,$169,0.31%,0.22%,0.23%
15,Short-term borrowings-10,,,,,,,,,
16,In U.S. offices,"$66,086","$79,028","$77,439",$234,$161,$176,0.35%,0.20%,0.23%
17,In offices outside the U.S.-6,"50,043","39,220","35,551",288,419,421,0.58,1.07,1.18
18,Total,"$116,129","$118,248","$112,990",$522,$580,$597,0.45%,0.49%,0.53%
19,Long-term debt-11,,,,,,,,,
20,In U.S. offices,"$182,371","$194,295","$194,140","$4,309","$5,093","$6,602",2.36%,2.62%,3.40%
21,In offices outside the U.S.-6,"7,643","7,761","10,194",208,262,234,2.72,3.38,2.30
22,Total,"$190,014","$202,056","$204,334","$4,517","$5,355","$6,836",2.38%,2.65%,3.35%
23,Total interest-bearing liabilities,"$1,248,767","$1,340,796","$1,363,109","$11,921","$13,690","$16,177",0.95%,1.02%,1.19%
24,Demand deposits in U.S. offices,"$26,124","$26,216","$21,948",,,,,,
25,Other non-interest-bearing liabilities-8,"329,756","317,351","299,052",,,,,,
26,Total liabilities from discontinued operations,—,—,362,,,,,,
27,Total liabilities,"$1,604,647","$1,684,363","$1,684,471",,,,,,
28,Citigroup stockholders’ equity-12,"$217,875","$210,863","$196,884",,,,,,
29,Noncontrolling interest,"1,315","1,689","1,941",,,,,,
30,Total equity-12,"$219,190","$212,552","$198,825",,,,,,
31,Total liabilities and stockholders’ equity,"$1,823,837","$1,896,915","$1,883,296",,,,,,
32,Net interest revenue as a percentage of average interest-earning assets-13,,,,,,,,,
33,In U.S. offices,"$923,334","$953,394","$926,291","$28,495","$27,497","$25,591",3.09%,2.88%,2.76%
34,In offices outside the U.S.-6,"682,503","718,800","731,570","18,624","20,993","21,723",2.73,2.92,2.97
35,Total,"$1,605,837","$1,672,194","$1,657,861","$47,119","$48,490","$47,314",2.93%,2.90%,2.85%
