row_index,c0,c1,c2,c3,c4,c5
1,Net interest revenue,"$5,651","$5,485","$4,254",3%,29%
2,Non-interest revenue,"4,138","4,461","3,844",-7,16
3,"Total revenues, net of interest expense","$9,789","$9,946","$8,098",-2%,23%
4,Total operating expenses,"4,515","5,156","4,634",-12,11
5,Provisions for credit losses and for benefits and claims,7,35,-30,-80,NM
6,Income before taxes and noncontrolling interests,"$5,267","$4,755","$3,494",11%,36%
7,Income taxes,"1,531","1,402","1,038",9,35
8,Income from continuing operations,"3,736","3,353","2,456",11,37
9,Net income attributable to noncontrolling interests,13,31,20,-58,55
10,Net income,"$3,723","$3,322","$2,436",12%,36%
11,Average assets(in billions of dollars),$60,$71,$69,-15%,3%
12,Return on assets,6.21%,4.68%,3.53%,,
13,Revenues by region,,,,,
14,North America,"$2,526","$2,161","$1,646",17%,31%
15,EMEA,"3,389","3,677","2,999",-8,23
16,Latin America,"1,373","1,439","1,199",-5,20
17,Asia,"2,501","2,669","2,254",-6,18
18,Total revenues,"$9,789","$9,946","$8,098",-2%,23%
19,Income from continuing operations by region,,,,,
20,North America,$615,$323,$209,90%,55%
21,EMEA,"1,287","1,246",816,3,53
22,Latin America,604,588,463,3,27
23,Asia,"1,230","1,196",968,3,24
24,Total net income from continuing operations,"$3,736","$3,353","$2,456",11%,37%
25,Key indicators(in billions of dollars),,,,,
26,Average deposits and other customer liability balances,$303,$280,$246,8%,14%
27,EOP assets under custody(in trillions of dollars),12.1,11.0,13.1,10,-16
