row_index,c0,c1,c2
1,,2009,2008
2,,(in millions),
3,"8.2% notes payable, due 2009",$—,$454.9
4,"3.31% notes payable, due 2011",61.2,49.9
5,"3.63% notes payable, due 2011",31.4,25.6
6,"7.875% notes payable, due 2014",400.0,—
7,"8.875% notes payable, due 2019",350.0,—
8,"6.05% notes payable, due 2036",601.8,601.8
9,"8% surplus notes payable, due 2044",99.2,99.2
10,Non-recourse mortgages and notes payable,40.6,58.7
11,Other mortgages and notes payable,0.4,0.4
12,Total long-term debt,"$1,584.6","$1,290.5"
