row_index,c0,c1,c2,c3,c4
1,Investment management fees,"3,138.5","2,720.9",417.6,15.3%
2,Service and distribution fees,780.3,645.5,134.8,20.9%
3,Performance fees,37.9,26.1,11.8,45.2%
4,Other,135.5,95.2,40.3,42.3%
5,Total operating revenues,"4,092.2","3,487.7",604.5,17.3%
6,"Third-party distribution, service and advisory expenses","-1,282.5","-1,053.8",-228.7,21.7%
7,"Proportional share of revenues, net of third-party distribution expenses, from joint venture investments",41.4,42.2,-0.8,-1.9%
8,Management fees earned from consolidated investment products,46.8,45.3,1.5,3.3%
9,Performance fees earned from consolidated investment products,0.5,—,0.5,N/A
10,Other revenues recorded by consolidated investment products,—,-0.3,0.3,-100.0%
11,Net revenues,"2,898.4","2,521.1",377.3,15.0%
